rank,year,duration,age_limit,rating,numberof_ratings,Metascore,description,name
742,1994,108,U,7.8,39.0,81.0,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.", The Postman
743,2004,97,12A,7.8,67.0,56.0,"Pierre, a successful orchestra conductor, returns home when his mother dies. He stumbles upon an old diary and recollects the childhood school memories and his music teacher Clement Mathieu.", The Chorus
744,1973,123,X,7.8,47.0,81.0,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town., Amarcord
745,1967,155,U,7.8,26.0,99.0,"Monsieur Hulot curiously wanders around a high-tech Paris, paralleling a trip with a group of American tourists. Meanwhile, a nightclub/restaurant prepares its opening night, but it's still under construction.", Playtime
746,2015,100,15,7.8,46.0,75.0,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.", Land of Mine
747,2016,100,15,7.8,65.0,78.0,"After surviving a heart-attack, a 59-year-old carpenter must fight bureaucratic forces to receive Employment and Support Allowance."," I, Daniel Blake"
748,1946,118,PG,7.8,27.0,90.0,"A humble orphan boy in 1810s Kent is given the opportunity to go to London and become a gentleman, with the help of an unknown benefactor.", Great Expectations
749,2011,157,15,7.8,51.0,82.0,A group of men set out in search of a dead body in the Anatolian steppes., Once Upon a Time in Anatolia
750,2004,192,U,7.8,58.0,67.0,"""Veer-Zaara"" is a saga of love, separation, courage, and sacrifice. A love story that is an inspiration and will remain a legend forever.", Veer Zaara
751,2001,87,PG,7.8,32.0,70.0,A TV interviewer and his cameraman meet a former actress and travel through her memories and career., Millennium Actress
752,1938,126,U,7.8,28.0,81.0,The son of a snobbish Wall Street banker becomes engaged to a woman from a good-natured but decidedly eccentric family not realizing that his father is trying to force her family from their home for a real estate development., You Can't Take It with You
753,1972,102,AA,7.8,47.0,93.0,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.", The Discreet Charm of the Bourgeoisie
754,1959,90,PG,7.8,36.0,81.0,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war., Hiroshima Mon Amour
755,2013,121,PG,7.8,28.0,73.0,"Ryota is a successful workaholic businessman. When he learns that his biological son was switched with another boy after birth, he faces the difficult decision to choose his true son or the boy he and his wife have raised as their own."," Like Father, Like Son"
756,1989,104,15,7.8,61.0,77.0,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman., Crimes and Misdemeanors
757,1992,85,U,7.8,71.0,64.0,The Muppets present their own touching rendition of Charles Dickens' classic tale., The Muppet Christmas Carol
758,1997,87,Not Rated,7.8,34.0,81.0,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.", Knockin' on Heaven's Door
759,1962,83,X,7.8,35.0,81.0,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution., Vivre Sa Vie
760,1935,96,U,7.8,35.0,81.0,A sly business manager and the wacky friends of two opera singers in Italy help them achieve success in America while humiliating their stuffy and snobbish enemies., A Night at the Opera
761,2016,66,PG,7.8,29.0,85.0,"After losing his mother, a young boy is sent to an orphanage with other orphans his age where he begins to learn the meaning of trust and true love.", My Life as a Courgette
762,2005,129,15,7.8,34.0,81.0,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values.", C
763,2017,132,PG,7.8,32.0,81.0,A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi., Hindi Medium
764,2012,134,PG,7.8,40.0,81.0,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.", English Vinglish
765,2012,126,12A,7.8,45.0,81.0,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.", Vicky Donor
766,2001,95,15,7.7,37.0,85.0,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs., Hedwig and the Angry Inch
767,1962,178,PG,7.7,60.0,75.0,"The events of D-Day, told on a grand scale from both the Allied and German points of view.", The Longest Day
768,2023,151,15,7.7,134.0,86.0,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness., Anatomy of a Fall
769,2023,163,12A,7.7,253.0,81.0,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands., Mission: Impossible - Dead Reckoning Part One
770,2023,169,15,7.7,339.0,78.0,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.", John Wick: Chapter 4
771,2023,105,15,7.7,52.0,90.0,A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago., All of Us Strangers
772,1985,114,12A,7.7,300.0,62.0,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure., The Goonies
773,2015,121,15,7.7,481.0,82.0,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico., Sicario
774,2014,129,15,7.7,719.0,60.0,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.", Kingsman: The Secret Service
775,2005,134,15,7.7,385.0,87.0,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends., Brokeback Mountain
776,2009,100,18,7.7,851.0,73.0,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.", The Hangover
777,1986,130,18,7.7,118.0,54.0,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey., The Name of the Rose
778,2014,108,15,7.7,595.0,78.0,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I., Ex Machina
779,2014,100,U,7.7,390.0,83.0,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.", The Lego Movie
780,2005,157,12A,7.7,685.0,81.0,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.", Harry Potter and the Goblet of Fire
781,2013,180,18,7.7,164.0,90.0,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.", Blue Is the Warmest Colour
782,2000,110,15,7.7,144.0,74.0,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family., Billy Elliot
783,2004,146,18,7.7,392.0,47.0,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.", Man on Fire
784,2001,144,15,7.7,426.0,74.0,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.", Black Hawk Down
785,1980,88,PG,7.7,263.0,78.0,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must safely land a commercial airplane full of passengers.", Airplane!
786,2010,100,PG,7.7,498.0,71.0,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.", Tangled
787,1974,93,AA,7.7,153.0,73.0,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.", Blazing Saddles
788,2007,157,15,7.7,602.0,79.0,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.", Zodiac
789,2009,95,12A,7.7,562.0,76.0,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.", 500 Days of Summer
790,2010,146,12A,7.7,603.0,65.0,"As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.", Harry Potter and the Deathly Hallows: Part 1
791,2022,114,15,7.7,256.0,87.0,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.", The Banshees of Inisherin
792,1995,140,PG,7.7,317.0,78.0,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy., Apollo 13
793,2003,102,15,7.7,493.0,91.0,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo., Lost in Translation
794,2011,131,12A,7.7,727.0,65.0,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.", X-Men: First Class
795,2001,116,12,7.7,623.0,74.0,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously., Ocean's Eleven
796,1990,103,PG,7.7,656.0,63.0,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.", Home Alone
797,1986,120,18,7.7,217.0,75.0,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.", Blue Velvet
798,2021,128,15,7.7,100.0,91.0,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.", The Worst Person in the World
799,2018,147,12A,7.7,380.0,87.0,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.", Mission: Impossible - Fallout
800,1996,129,18,7.7,249.0,47.0,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep.", Primal Fear
801,2009,100,PG,7.7,266.0,80.0,"Wandering her rambling old house in her boring new town, an 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.", Coraline
802,2008,90,18,7.7,637.0,51.0,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.", Taken
803,1997,129,15,7.7,432.0,63.0,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him.", The Game
804,2000,107,12,7.7,332.0,69.0,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."," O Brother, Where Art Thou?"
805,2019,100,U,7.7,282.0,84.0,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.", Toy Story 4
806,2017,107,15,7.7,282.0,73.0,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets.", Wind River
807,1998,134,18,7.7,75.0,81.0,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts which society as a whole might find disturbing in a desperate search for human connection.", Happiness
808,2002,131,PG,7.7,149.0,61.0,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.", The Count of Monte Cristo
809,2001,106,18,7.7,129.0,89.0,"In Mexico, two teenage boys and an older woman embark on a road trip and learn a thing or two about life and each other.", Y tu mamÃ¡ tambiÃ©n
810,2001,122,18,7.7,476.0,71.0,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be., Training Day
811,1992,138,15,7.7,289.0,62.0,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders., A Few Good Men
812,2014,136,12A,7.7,903.0,70.0,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.", Captain America: The Winter Soldier
813,1972,109,18,7.7,120.0,80.0,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.", Deliverance
814,1993,118,12,7.7,255.0,73.0,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness., What's Eating Gilbert Grape
815,1982,93,15,7.7,277.0,61.0,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers., First Blood
816,1998,87,U,7.7,318.0,72.0,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.", Mulan
817,2008,94,12A,7.7,249.0,55.0,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.", The Boy in the Striped Pyjamas
818,1978,91,X,7.7,308.0,90.0,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.", Halloween
819,2004,112,15,7.7,450.0,66.0,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.", Crash
820,1988,104,PG,7.7,218.0,83.0,"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence.", Who Framed Roger Rabbit
821,2014,126,12A,7.7,403.0,69.0,"Hazel and Gus are teenagers who meet at a cancer support group and fall in love. They both share the same acerbic wit and a love of books, especially ""An Imperial Affliction"", so they embark on a journey to visit an author in Amsterdam.", The Fault in Our Stars
822,1974,113,AA,7.7,123.0,87.0,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.", The Conversation
823,2012,122,15,7.7,745.0,81.0,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.", Silver Linings Playbook
824,2012,120,15,7.7,641.0,86.0,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.", Argo
825,1995,136,U,7.7,126.0,84.0,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.", Sense and Sensibility
826,2014,119,15,7.7,669.0,87.0,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.", Birdman or (The Unexpected Virtue of Ignorance)
827,1964,110,PG,7.7,203.0,87.0,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.", Goldfinger
828,1992,100,15,7.7,117.0,84.0,An examination of the machinations behind the scenes at a real estate office., Glengarry Glen Ross
829,1971,104,X,7.7,136.0,94.0,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.", The French Connection
830,1991,130,PG,7.7,84.0,64.0,"Evelyn, an ordinary housewife, visits a nursing home and befriends the old lady Ninny. Together, they bond over stories from the past about two intrepid women of Whistle Stop Cafe.", Fried Green Tomatoes at the Whistle Stop Cafe
831,2012,101,PG,7.7,461.0,72.0,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.", Wreck-It Ralph
832,1997,106,15,7.7,325.0,64.0,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel., Gattaca
833,1988,107,12,7.7,45.0,81.0,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.", The Vanishing
834,2013,91,12A,7.7,866.0,96.0,"Dr Ryan Stone, an engineer on her first time on a space mission, and Matt Kowalski, an astronaut on his final expedition, have to survive in space after they are hit by debris while spacewalking.", Gravity
835,1989,95,15,7.7,244.0,76.0,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.", When Harry Met Sally
836,1997,139,15,7.7,320.0,67.0,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.", As Good as It Gets
837,1980,124,AA,7.7,57.0,86.0,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son.", Ordinary People
838,1993,131,18,7.7,44.0,85.0,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey., Naked
839,2020,117,12A,7.7,197.0,79.0,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives., Another Round
840,1993,125,12,7.7,259.0,66.0,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic-small time lawyer as the only willing advocate for a wrongful dismissal suit.", Philadelphia
841,2004,108,12A,7.7,489.0,73.0,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.", The Bourne Supremacy
842,2014,123,12A,7.7,484.0,71.0,Stephen Hawking gets unprecedented success in the field of physics despite being diagnosed with motor neuron disease at the age of 21. He defeats awful odds as his first wife Jane aids him loyally., The Theory of Everything
843,2009,141,15,7.7,247.0,63.0,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.", Mr
844,1987,153,PG,7.7,135.0,62.0,A young English boy struggles to survive under Japanese occupation of China during World War II., Empire of the Sun
845,2011,98,15,7.7,100.0,52.0,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment., Detachment
846,2006,101,18,7.7,129.0,86.0,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.", This Is England
847,2013,132,12A,7.7,498.0,72.0,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.", Star Trek Into Darkness
848,1960,128,PG,7.7,103.0,74.0,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits., The Magnificent Seven
849,2008,141,15,7.7,266.0,63.0,"After Christine's son goes missing, she reaches out to the LAPD to find him. But when they try to pass off an impostor as her son to quieten public protests, she refuses to accept him or give up hope.", Changeling
850,1997,127,18,7.7,334.0,77.0,An FBI undercover agent infiltrates the mob and finds himself identifying more with the Mafia life--at the expense of his regular one., Donnie Brasco
851,2002,117,15,7.7,286.0,72.0,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.", Road to Perdition
852,2001,99,15,7.7,67.0,85.0,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe., Waking Life
853,2004,99,15,7.7,152.0,78.0,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.", Kung Fu Hustle
854,2002,115,15,7.7,204.0,83.0,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen., Adaptation
855,1971,102,X,7.7,169.0,87.0,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath.", Dirty Harry
856,2010,90,PG,7.7,98.0,45.0,Two eighth-graders start to have feelings for each other despite being total opposites., Flipped
857,1982,113,12A,7.7,130.0,68.0,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.", Star Trek II: The Wrath of Khan
858,2015,105,12A,7.7,139.0,74.0,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.", Me and Earl and the Dying Girl
859,1967,111,X,7.7,121.0,86.0,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.", Bonnie and Clyde
860,2006,110,18,7.7,327.0,53.0,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.", Lucky Number Slevin
861,2019,120,15,7.7,152.0,82.0,A heavy metal drummer's life is turned upside down when he begins to lose his hearing and he must confront a future filled with silence., Sound of Metal
862,1964,170,U,7.7,102.0,95.0,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl, Eliza Doolittle, presentable in high society.", My Fair Lady
863,1999,113,15,7.7,354.0,90.0,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich., Being John Malkovich
864,1985,154,15,7.7,98.0,78.0,"A tale spanning forty years in the life of Celie, an African-American woman living in the South who survives incredible abuse and bigotry.", The Color Purple
865,1973,130,X,7.7,136.0,83.0,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him., Serpico
866,1987,84,18,7.7,183.0,72.0,"Ash Williams, the lone survivor of an earlier onslaught of flesh-possessing spirits, holes up in a cabin with a group of strangers while the demons continue their attack.", Evil Dead II
867,2020,129,15,7.7,194.0,76.0,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.", The Trial of the Chicago 7
868,1977,121,AA,7.7,28.0,68.0,Four unfortunate men from different parts of the globe agree to risk their lives transporting gallons of nitroglycerin across dangerous Latin American jungle., Sorcerer
869,1990,115,18,7.7,143.0,66.0,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.", Miller's Crossing
870,1994,92,18,7.7,233.0,70.0,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.", Clerks
871,2006,90,15,7.7,98.0,81.0,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it.", Paprika
872,1978,94,PG,7.7,63.0,94.0,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune., Days of Heaven
873,1967,150,X,7.7,79.0,73.0,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.", The Dirty Dozen
874,1947,101,U,7.7,28.0,86.0,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad.", Black Narcissus
875,1992,202,15,7.7,103.0,73.0,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam and his eventual assassination.", Malcolm X
876,2013,141,15,7.7,98.0,86.0,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.", The Great Beauty
877,1999,81,15,7.7,216.0,73.0,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."," South Park: Bigger, Longer & Uncut"
878,1973,94,X,7.7,79.0,93.0,"An impressionable teenage girl from a dead-end town, and her older greaser boyfriend, embark on a killing spree in the South Dakota Badlands.", Badlands
879,1951,92,U,7.7,86.0,83.0,"An alien lands in Washington, D.C. and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.", The Day the Earth Stood Still
880,1987,163,15,7.7,112.0,76.0,"Bernardo Bertolucci's Oscar-winning dramatisation of the life story of China's last emperor, Pu Yi.", The Last Emperor
881,2004,152,15,7.7,158.0,73.0,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.", Ray
882,1940,124,U,7.7,104.0,96.0,"A series of eight famous pieces of classical music, conducted by Leopold Stokowski and interpreted in animation by Walt Disney's team of artists.", Fantasia
883,2013,115,15,7.7,124.0,86.0,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.", Nebraska
884,2018,135,15,7.7,170.0,96.0,A year in the life of a middle-class family's maid in Mexico City in the early 1970s., Roma
885,1952,129,PG,7.7,43.0,85.0,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.", The Quiet Man
886,2009,129,15,7.7,72.0,79.0,A mother desperately searches for the killer who framed her son for a girl's horrific murder., Mother
887,2004,106,PG,7.7,212.0,67.0,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan., Finding Neverland
888,1997,119,15,7.7,73.0,81.0,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.", Open Your Eyes
889,2003,121,15,7.7,153.0,68.0,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.", Good Bye Lenin!
890,2016,101,PG,7.7,139.0,84.0,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past., Kubo and the Two Strings
891,1973,72,PG,7.7,37.0,73.0,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.", Fantastic Planet
892,1982,129,AA,7.7,46.0,77.0,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.", The Verdict
893,2006,145,15,7.7,81.0,71.0,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.", Black Book
894,1962,106,X,7.7,32.0,76.0,A lawyer's family is stalked by a man he once helped put in jail., Cape Fear
895,2015,116,15,7.7,69.0,70.0,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.", A Man Called Ove
896,1996,242,PG,7.7,40.0,81.0,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.", Hamlet
897,2018,189,15,7.7,26.0,68.0,"German artist Kurt Barnert has escaped East Germany and now lives in West Germany, but is tormented by his childhood under the Nazis and the GDR-regime.", Never Look Away
898,1992,94,PG,7.7,103.0,83.0,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.", Porco Rosso
899,1960,90,PG,7.7,88.0,81.0,"A small-time crook, hunted by the authorities for a car theft and the murder of a police officer, attempts to persuade a hip American journalism student to run away with him to Italy.", Breathless
900,2010,119,18,7.7,75.0,81.0,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend., The Man from Nowhere
901,1951,105,U,7.7,85.0,91.0,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship.", The African Queen
902,2015,137,15,7.7,87.0,79.0,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.", Beasts of No Nation
903,1964,138,PG,7.7,43.0,77.0,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift., Zulu
904,1966,120,U,7.7,37.0,72.0,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.", A Man for All Seasons
905,2001,120,18,7.7,96.0,59.0,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence.", Das Experiment
906,1956,80,PG,7.7,55.0,92.0,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates., Invasion of the Body Snatchers
907,2016,96,Not Rated,7.7,72.0,81.0,"Seven long-time friends meet for dinner. They decide to share their text messages, emails and phone calls. Secrets are unveiled. Harmony trembles.", Perfect Strangers
908,1991,129,15,7.7,66.0,68.0,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night., Night on Earth
909,1981,110,A,7.7,26.0,83.0,"Two old friends meet for dinner; as one tells anecdotes detailing his experiences, the other notices their differing worldviews.", My Dinner with Andre
